name	userID	userDate	screenName	author	messageID	messageDate	messageText
✯ Sergio Jr. ✯	20299211	1233990804.0	morbeen4444	✯ Sergio Jr. ✯	935541780593885184	1511881916.0	"RT @PopCrave: Congratulations to Justin Bieber who's nominated for 3 #GRAMMYs including ""Song of the Year"" &amp; ""Record of the Year!"" https://…"
jingle jawn	27083957	1238180609.0	Jon_McIntosh	jingle jawn	935541690160558082	1511881895.0	@PrettyBitchEric if it were the version without Justin Bieber that got nominated, sure.
Brian • 9463 	28696142	1238797393.0	iPulledDaTrigga	Brian • 9463 	935541974756741120	1511881962.0	"RT @PopCrave: #GRAMMYS Record Of The Year nominees:

•Redbone by Childish Bambino
•Despacito by Luis Fonsi &amp; Daddy Yankee feat. Justin Bieb…"
Sofia 🦋	41191083	1242754806.0	SofiaZavoli	Sofia 🦋	935542051772526596	1511881981.0	Ya empezaron a querer darle todos los créditos a Justin Bieber por el éxito de Despacito 😒 https://t.co/HI7leel0bl
Trans Silvania prazê	53772029	1246737954.0	Kgmello	Trans Silvania prazê	935541739070386176	1511881906.0	Bieber indicado em 3 categorias. Hitmaker faz assim, viu #GRAMMYs https://t.co/gMVUUrZy0c
Carla	107249264	1264114990.0	camprockgirly	Carla	935541778488483841	1511881916.0	"RT @PopCrave: Congratulations to Justin Bieber who's nominated for 3 #GRAMMYs including ""Song of the Year"" &amp; ""Record of the Year!"" https://…"
maddie	122757224	1268507247.0	biebersomadz	maddie	935541971405357056	1511881962.0	"RT @PopCrave: Congratulations to Justin Bieber who's nominated for 3 #GRAMMYs including ""Song of the Year"" &amp; ""Record of the Year!"" https://…"
Karo.	139167354	1272734483.0	ItsKarolayn	Karo.	935542043060908032	1511881979.0	"RT @PopCrave: Congratulations to Justin Bieber who's nominated for 3 #GRAMMYs including ""Song of the Year"" &amp; ""Record of the Year!"" https://…"
Nanda	159122812	1277382207.0	Breath_JBieber	Nanda	935542048400314369	1511881980.0	RT @biebercharts: Luis Fonsi’s &amp; Justin Bieber’s remix of ‘Despacito’ is nominated for Song Of The Year, Record Of The Year &amp; Best Pop Duo…
nK🖤	166235165	1279034953.0	MooNkNwalk	nK🖤	935542033187524609	1511881976.0	RT @AndreaJBelieber: Leyenda nivel: estar aburrido, escuchar despacito de fiesta, querer hacer un remix simplemente por diversion y que con…
Sidharth Jain	168199146	1279467822.0	pinku04	Sidharth Jain	935542034001141761	1511881977.0	"RT @facelesskrishna: Ye RW walo ne kya kar diya..

18-30 ki age wali generation Mahabharat ki clips dekh rahi hai, Gita padh rahi hai..

RS…"
nathalia	202504205	1287026501.0	californiakIass	nathalia	935541859908235264	1511881935.0	RT @avonteathr: as indicações e o grammy de despacito estão nas costas do justin SIM porque a música que foi indicada foi o remix e não a m…
alba	235340718	1294438997.0	spideyinfinitys	alba	935541974861537280	1511881962.0	RT @captaindeadpooI: why do ppl call Despacito “Justin Bieber’s Despacito” as if the bieber version isn’t just a white devil discount remix…
Fernanda	243218533	1296052331.0	1march00h56am	Fernanda	935541940694798336	1511881954.0	"RT @biebersmaniabrs: Justin Bieber foi indicado no GRAMMY 2018 com ""Despacito"" juntamente com Luis Fonsi e Daddy Yankee!! Confira as catego…"
Fernanda	243218533	1296052331.0	1march00h56am	Fernanda	935542007073734656	1511881970.0	RT @avonteathr: as indicações e o grammy de despacito estão nas costas do justin SIM porque a música que foi indicada foi o remix e não a m…
🄰🄽🄰	244765892	1296352126.0	anacezarinx	🄰🄽🄰	935541712499499008	1511881900.0	"RT @PopCrave: Congratulations to Justin Bieber who's nominated for 3 #GRAMMYs including ""Song of the Year"" &amp; ""Record of the Year!"" https://…"
Tata 👑	262198036	1299508191.0	itsbiebereffect	Tata 👑	935541832456523776	1511881929.0	"RT @PopCrave: Congratulations to Justin Bieber who's nominated for 3 #GRAMMYs including ""Song of the Year"" &amp; ""Record of the Year!"" https://…"
natalia misses justin :(	270968806	1300892742.0	enemybieber	natalia misses justin :(	935542031950274561	1511881976.0	"RT @PopCrave: Congratulations to Justin Bieber who's nominated for 3 #GRAMMYs including ""Song of the Year"" &amp; ""Record of the Year!"" https://…"
Sere , , , jb	340969011	1311429321.0	BizzleKidrahulL	Sere , , , jb	935541957228679168	1511881958.0	RT @OT_Oficial: 🎧🎤 Raoul y Aitana cantarán en la #OTGala6 “Let Me Love You” de Justin Bieber  #OTDirecto28N https://t.co/yJiPDRm5FO
Morgane	347464361	1312311410.0	iheartbiebzi	Morgane	935541729742262277	1511881904.0	RT @TheJBCrewdotcom: Big congratulations to Justin Bieber as he is nominated for 3 Grammy’s at the upcoming 2018 Grammy Awards! “Despacito”…
lyna	363587693	1314519565.0	gambvno	lyna	935541813976420353	1511881924.0	"RT @PopCrave: Congratulations to Justin Bieber who's nominated for 3 #GRAMMYs including ""Song of the Year"" &amp; ""Record of the Year!"" https://…"
.	370587959	1315550651.0	bizzIegr	.	935541917630296064	1511881949.0	"RT @headlineplanet: To answer a common question we're seeing:

The ""Despacito"" Grammy nominations are all for the version with Justin Biebe…"
Cali 😎	394446185	1319071287.0	___Mistercap	Cali 😎	935541801192165378	1511881921.0	"RT @enews: The nominees for Record of the Year: 

Redbone — Childish Gambino
Despacito — Luis Fonsi and Daddy Yankee ft. Justin Bieber
The…"
Cali 😎	394446185	1319071287.0	___Mistercap	Cali 😎	935541911032598528	1511881947.0	"RT @enews: The nominees for Song of the Year:
Despacito — Luis Fonsi and Daddy Yankee ft. Justin Bieber
4:44 — Jay-Z 
Issues — Julia Michae…"
mayie	397486729	1319476389.0	iansomerhldwr	mayie	935541739334651904	1511881906.0	RT @bieberfbra: Justin Bieber foi indicado ao Grammy nas categorias “Record of the Year”, “Song of the Year” e “Best Pop Duo” com a música…
Edith nuño	403045426	1320185346.0	nancysaneznuo	Edith nuño	935541760314564608	1511881911.0	"RT @Young_foreverV: TOP SOCIAL 50 BILLBOARD

1.- @BTS_twt
2.- Selena Gomez
3.- Rihanna
4.- Demi Lovato
5.- Niall Horan
6.- Miley Cirus
7.-J…"
journalsuck	421892076	1322314552.0	journalsuck	journalsuck	935542039520972800	1511881978.0	RT @jaxonaja: fico besta que ainda existe @ que não aceita que justin bieber fez de despacito um smash hit quando todos os recordes importa…
Kelsey Stafrace	429283147	1323110915.0	kstaaafrace	Kelsey Stafrace	935541835447001088	1511881929.0	RT @empoole16: LOL do y’all ever wonder what if Justin Bieber decided to be a normal south ontario boy??? Would he be sending it with the b…
Ani 🐣	430725686	1323263294.0	anashxirwin	Ani 🐣	935541853591613441	1511881934.0	RT @OT_Oficial: 🎧🎤 Raoul y Aitana cantarán en la #OTGala6 “Let Me Love You” de Justin Bieber  #OTDirecto28N https://t.co/yJiPDRm5FO
Forever & Always.	433338368	1323518006.0	Strongnow	Forever & Always.	935541921946198017	1511881950.0	RT @OT_Oficial: 🎧🎤 Raoul y Aitana cantarán en la #OTGala6 “Let Me Love You” de Justin Bieber  #OTDirecto28N https://t.co/yJiPDRm5FO
